method,feature,mean_importance
core_plus_promo_interactions,Revenue_mom_ratio,159.0
core_plus_promo_interactions,Revenue_momentum,156.0
core_plus_promo_interactions,Revenue_diff_7,152.0
core_plus_promo_interactions,Revenue_lag_90,152.0
core_plus_promo_interactions,dayofweek,136.5
core_plus_promo_interactions,dayofweek_sin,132.0
core_plus_promo_interactions,rev_over_cogs_lag7,129.5
core_plus_promo_interactions,dayofweek_cos,124.0
core_plus_promo_interactions,COGS_rstd_7,121.5
core_plus_promo_interactions,Revenue_lag_2,121.5
core_plus_promo_interactions,Revenue_rmin_7,118.5
core_plus_promo_interactions,Revenue_lag_180,117.5
core_plus_promo_interactions,trend,114.5
core_plus_promo_interactions,COGS_lag_21,114.0
core_plus_promo_interactions,Revenue_lag_21,112.0
core_plus_promo_interactions,Revenue_lag_60,110.0
core_plus_promo_interactions,COGS_lag_2,109.5
core_plus_promo_interactions,Revenue_rmedian_7,109.5
core_plus_promo_interactions,COGS_lag_180,107.5
core_plus_promo_interactions,Revenue_rmin_14,106.0
core_plus_promo_interactions,COGS_lag_60,105.0
core_plus_promo_interactions,COGS_rmin_7,102.0
core_plus_promo_interactions,fourier_sin_4,101.5
core_plus_promo_interactions,fourier_sin_5,99.5
core_plus_promo_interactions,Revenue_lag_3,97.0
core_plus_promo_interactions,days_since_last_promo_end,92.5
core_plus_promo_interactions,Revenue_rstd_7,92.0
core_plus_promo_interactions,days_to_next_promo_start,89.0
core_plus_promo_interactions,Revenue_rmean_7,80.5
core_plus_promo_interactions,COGS_lag_3,80.0
core_plus_promo_interactions,fourier_sin_2,76.5
core_plus_promo_interactions,COGS_rstd_28,76.0
core_plus_promo_interactions,COGS_rstd_14,75.5
core_plus_promo_interactions,Revenue_rmedian_365,75.0
core_plus_promo_interactions,COGS_rmedian_7,73.5
core_plus_promo_interactions,Revenue_rmean_365,71.5
core_plus_promo_interactions,fourier_sin_1,71.5
core_plus_promo_interactions,COGS_rmean_7,69.5
core_plus_promo_interactions,fourier_cos_4,69.0
core_plus_promo_interactions,fourier_cos_5,67.0
core_plus_promo_interactions,Revenue_rstd_14,66.0
core_plus_promo_interactions,Revenue_rstd_365,64.0
core_plus_promo_interactions,COGS_rmax_28,56.0
core_plus_promo_interactions,Revenue_rstd_28,55.5
core_plus_promo_interactions,COGS_rmean_28,55.0
core_plus_promo_interactions,Revenue_rstd_60,55.0
core_plus_promo_interactions,Revenue_rmin_60,54.5
core_plus_promo_interactions,COGS_rmin_14,52.5
core_plus_promo_interactions,COGS_rmedian_14,50.0
core_plus_promo_interactions,Revenue_rstd_90,50.0
core_plus_promo_interactions,dayofyear,48.5
core_plus_promo_interactions,Revenue_rmax_7,47.0
core_plus_promo_interactions,dayofyear_cos,45.5
core_plus_promo_interactions,Revenue_rmean_28,45.0
core_plus_promo_interactions,Revenue_rmedian_14,44.5
core_plus_promo_interactions,Revenue_rmin_28,44.5
core_plus_promo_interactions,COGS_rmin_28,43.5
core_plus_promo_interactions,COGS_rstd_90,41.0
core_plus_promo_interactions,Revenue_rmax_14,41.0
core_plus_promo_interactions,Revenue_rmean_14,40.5
core_plus_promo_interactions,Revenue_rmin_365,39.5
core_plus_promo_interactions,Revenue_rmax_28,37.0
core_plus_promo_interactions,COGS_rmean_14,35.5
core_plus_promo_interactions,Revenue_rmedian_180,35.0
core_plus_promo_interactions,COGS_rmedian_28,33.5
core_plus_promo_interactions,Revenue_rmin_90,33.5
core_plus_promo_interactions,Revenue_rmean_180,32.5
core_plus_promo_interactions,Revenue_rmin_180,31.5
core_plus_promo_interactions,Revenue_rmedian_28,30.5
core_plus_promo_interactions,promo_dow_pressure,30.5
core_plus_promo_interactions,COGS_rmax_7,28.0
core_plus_promo_interactions,fourier_cos_2,28.0
core_plus_promo_interactions,COGS_rmax_14,27.5
core_plus_promo_interactions,Revenue_rstd_180,25.5
core_plus_promo_interactions,Revenue_rmean_60,24.5
core_plus_promo_interactions,year,22.5
core_plus_promo_interactions,Revenue_rmean_90,21.0
core_plus_promo_interactions,active_discount_sum,20.5
core_plus_promo_interactions,Revenue_rmedian_60,19.0
core_plus_promo_interactions,COGS_rmin_90,18.5
core_plus_promo_interactions,COGS_rmedian_90,16.5
core_plus_promo_interactions,Revenue_rmax_60,16.5
core_plus_promo_interactions,Revenue_rmax_180,15.0
core_plus_promo_interactions,Revenue_rmax_365,15.0
core_plus_promo_interactions,COGS_rmean_90,14.5
core_plus_promo_interactions,Revenue_rmedian_90,14.5
core_plus_promo_interactions,weekofyear,13.5
core_plus_promo_interactions,Revenue_rmax_90,13.0
core_plus_promo_interactions,COGS_rmax_90,11.5
core_plus_promo_interactions,fourier_cos_1,11.5
core_plus_promo_interactions,month_sin,9.0
core_plus_promo_interactions,month_cos,6.0
core_plus_promo_interactions,is_month_start,5.0
core_plus_promo_interactions,promo_weekend_discount,5.0
core_plus_promo_interactions,active_fixed_count,3.5
core_plus_promo_interactions,active_promo_count,1.0
core_plus_promo_interactions,active_pct_count,0.5
core_plus_promo_interactions,is_weekend,0.5
core_plus_promo_interactions,month,0.5
core_plus_promo_interactions,after_promo_7d,0.0
core_plus_promo_interactions,is_month_end,0.0
core_plus_promo_interactions,is_promo_active,0.0
core_plus_promo_interactions,next_promo_7d,0.0
core_plus_promo_interactions,promo_monthend_discount,0.0
core_plus_promo_interactions,quarter,0.0
core_plus_regime_features,dayofmonth,548.0
core_plus_regime_features,Revenue_lag_1,442.5
core_plus_regime_features,Revenue_lag_7,357.5
core_plus_regime_features,COGS_lag_365,342.5
core_plus_regime_features,Revenue_lag_365,287.5
core_plus_regime_features,COGS_lag_7,209.5
core_plus_regime_features,rev_cogs_spread_lag1,208.5
core_plus_regime_features,COGS_lag_28,204.5
core_plus_regime_features,rev_zscore_28,200.0
core_plus_regime_features,fourier_cos_3,197.5
core_plus_regime_features,Revenue_lag_14,189.0
core_plus_regime_features,COGS_lag_14,186.5
core_plus_regime_features,Revenue_yoy_ratio,182.0
core_plus_regime_features,COGS_lag_90,178.5
core_plus_regime_features,Revenue_diff_1,178.0
core_plus_regime_features,Revenue_lag_28,176.0
core_plus_regime_features,cogs_trend_7_28,157.5
core_plus_regime_features,dayofyear_sin,153.5
core_plus_regime_features,Revenue_mom_ratio,150.0
core_plus_regime_features,Revenue_wow_ratio,148.0
core_plus_regime_features,COGS_lag_1,146.0
core_plus_regime_features,dayofweek,137.5
core_plus_regime_features,Revenue_lag_90,137.0
core_plus_regime_features,dayofweek_sin,137.0
core_plus_regime_features,fourier_sin_3,136.0
core_plus_regime_features,Revenue_lag_2,129.5
core_plus_regime_features,rev_over_cogs_lag1,124.5
core_plus_regime_features,Revenue_rmin_7,123.5
core_plus_regime_features,Revenue_lag_180,122.5
core_plus_regime_features,dayofweek_cos,121.0
core_plus_regime_features,Revenue_diff_7,120.5
core_plus_regime_features,rev_trend_7_28,113.5
core_plus_regime_features,Revenue_lag_21,108.0
core_plus_regime_features,fourier_sin_5,108.0
core_plus_regime_features,rev_over_cogs_lag7,107.0
core_plus_regime_features,COGS_lag_180,104.5
core_plus_regime_features,COGS_lag_60,104.0
core_plus_regime_features,trend,102.5
core_plus_regime_features,COGS_rstd_7,100.0
core_plus_regime_features,COGS_lag_21,93.0
core_plus_regime_features,Revenue_lag_3,92.5
core_plus_regime_features,Revenue_lag_60,92.0
core_plus_regime_features,Revenue_rstd_7,92.0
core_plus_regime_features,Revenue_momentum,91.5
core_plus_regime_features,COGS_lag_2,90.5
core_plus_regime_features,COGS_rmin_7,88.5
core_plus_regime_features,COGS_rstd_28,88.0
core_plus_regime_features,Revenue_rmedian_7,86.5
core_plus_regime_features,Revenue_rmin_14,85.0
core_plus_regime_features,trend_x_dayofyear_sin,84.5
core_plus_regime_features,COGS_lag_3,83.0
core_plus_regime_features,days_to_next_promo_start,83.0
core_plus_regime_features,fourier_sin_4,80.5
core_plus_regime_features,Revenue_rmedian_365,79.5
core_plus_regime_features,days_since_last_promo_end,77.5
core_plus_regime_features,Revenue_rmean_365,76.0
core_plus_regime_features,fourier_cos_5,74.0
core_plus_regime_features,Revenue_rmean_7,65.0
core_plus_regime_features,Revenue_rstd_365,64.0
core_plus_regime_features,fourier_sin_2,63.0
core_plus_regime_features,fourier_cos_4,62.5
core_plus_regime_features,trend_x_month_cos,62.5
core_plus_regime_features,COGS_rmedian_7,60.5
core_plus_regime_features,Revenue_rstd_14,60.5
core_plus_regime_features,Revenue_rstd_28,58.5
core_plus_regime_features,COGS_rmean_7,56.5
core_plus_regime_features,COGS_rstd_14,56.0
core_plus_regime_features,fourier_sin_1,55.5
core_plus_regime_features,COGS_rmax_28,51.5
core_plus_regime_features,COGS_rmedian_14,50.0
core_plus_regime_features,Revenue_rmax_7,50.0
core_plus_regime_features,COGS_rmean_28,48.5
core_plus_regime_features,COGS_rmin_14,48.5
core_plus_regime_features,dayofyear,48.5
core_plus_regime_features,COGS_rstd_90,44.5
core_plus_regime_features,Revenue_rmin_60,44.5
core_plus_regime_features,Revenue_rmedian_14,41.5
core_plus_regime_features,Revenue_rstd_60,41.0
core_plus_regime_features,Revenue_rmax_28,40.5
core_plus_regime_features,Revenue_rmin_28,40.5
core_plus_regime_features,Revenue_rmean_14,39.0
core_plus_regime_features,COGS_rmean_14,37.5
core_plus_regime_features,COGS_rmin_28,37.5
core_plus_regime_features,Revenue_rmean_180,37.5
core_plus_regime_features,dayofyear_cos,36.5
core_plus_regime_features,Revenue_rmean_28,36.0
core_plus_regime_features,Revenue_rmedian_28,34.5
core_plus_regime_features,Revenue_rmin_180,34.0
core_plus_regime_features,COGS_rmax_7,33.5
core_plus_regime_features,COGS_rmax_14,33.0
core_plus_regime_features,Revenue_rstd_90,32.5
core_plus_regime_features,Revenue_rmedian_180,32.0
core_plus_regime_features,fourier_cos_2,32.0
core_plus_regime_features,Revenue_rmax_14,31.5
core_plus_regime_features,Revenue_rmin_365,31.5
core_plus_regime_features,Revenue_rmin_90,30.0
core_plus_regime_features,COGS_rmedian_28,29.5
core_plus_regime_features,Revenue_rstd_180,29.0
core_plus_regime_features,Revenue_rmean_60,26.5
core_plus_regime_features,trend_x_month_sin,26.5
core_plus_regime_features,rev_cogs_ratio_lag1,25.0
core_plus_regime_features,COGS_rmedian_90,21.5
core_plus_regime_features,Revenue_rmedian_60,20.5
core_plus_regime_features,COGS_rmean_90,20.0
core_plus_regime_features,Revenue_rmean_90,17.0
core_plus_regime_features,Revenue_rmedian_90,15.5
core_plus_regime_features,COGS_rmax_90,14.5
core_plus_regime_features,Revenue_rmax_60,14.5
core_plus_regime_features,rev_vol_28,14.5
core_plus_regime_features,year,13.5
core_plus_regime_features,Revenue_rmax_90,12.5
core_plus_regime_features,rev_vol_14,12.0
core_plus_regime_features,Revenue_rmax_180,11.0
core_plus_regime_features,COGS_rmin_90,10.5
core_plus_regime_features,active_discount_sum,10.5
core_plus_regime_features,month_sin,10.5
core_plus_regime_features,weekofyear,10.5
core_plus_regime_features,fourier_cos_1,9.5
core_plus_regime_features,Revenue_rmax_365,8.5
core_plus_regime_features,is_month_start,7.5
core_plus_regime_features,weekend_monthend,4.0
core_plus_regime_features,month_cos,3.5
core_plus_regime_features,active_pct_count,2.5
core_plus_regime_features,active_fixed_count,1.5
core_plus_regime_features,active_promo_count,1.0
core_plus_regime_features,is_month_end,1.0
core_plus_regime_features,month,1.0
core_plus_regime_features,is_weekend,0.5
core_plus_regime_features,is_promo_active,0.0
core_plus_regime_features,quarter,0.0
core_plus_selected_aux_lags,dayofmonth,559.5
core_plus_selected_aux_lags,Revenue_lag_1,537.0
core_plus_selected_aux_lags,COGS_lag_365,351.0
core_plus_selected_aux_lags,Revenue_lag_365,300.5
core_plus_selected_aux_lags,Revenue_lag_7,223.0
core_plus_selected_aux_lags,order_count_lag_7,221.0
core_plus_selected_aux_lags,Revenue_lag_14,186.0
core_plus_selected_aux_lags,fourier_cos_3,179.5
core_plus_selected_aux_lags,COGS_lag_14,178.0
core_plus_selected_aux_lags,dayofyear_sin,175.5
core_plus_selected_aux_lags,Revenue_lag_28,172.0
core_plus_selected_aux_lags,COGS_lag_28,171.5
core_plus_selected_aux_lags,pay_total_lag_7,170.5
core_plus_selected_aux_lags,rev_over_cogs_lag1,168.0
core_plus_selected_aux_lags,Revenue_yoy_ratio,166.0
core_plus_selected_aux_lags,Revenue_diff_1,158.0
core_plus_selected_aux_lags,Revenue_wow_ratio,157.0
core_plus_selected_aux_lags,Revenue_momentum,151.0
core_plus_selected_aux_lags,fourier_sin_3,149.5
core_plus_selected_aux_lags,Revenue_mom_ratio,148.5
core_plus_selected_aux_lags,COGS_lag_1,147.0
core_plus_selected_aux_lags,Revenue_lag_90,147.0
core_plus_selected_aux_lags,Revenue_diff_7,144.5
core_plus_selected_aux_lags,COGS_lag_90,143.0
core_plus_selected_aux_lags,cancel_rate_lag_7,131.0
core_plus_selected_aux_lags,dayofweek,128.0
core_plus_selected_aux_lags,dayofweek_cos,123.0
core_plus_selected_aux_lags,COGS_rstd_7,120.0
core_plus_selected_aux_lags,rev_over_cogs_lag7,117.0
core_plus_selected_aux_lags,Revenue_lag_2,115.0
core_plus_selected_aux_lags,COGS_lag_7,114.5
core_plus_selected_aux_lags,Revenue_rmin_7,113.0
core_plus_selected_aux_lags,dayofweek_sin,113.0
core_plus_selected_aux_lags,Revenue_rmedian_7,111.0
core_plus_selected_aux_lags,Revenue_lag_180,108.0
core_plus_selected_aux_lags,fourier_sin_5,105.5
core_plus_selected_aux_lags,page_views_lag_7,103.0
core_plus_selected_aux_lags,COGS_lag_60,100.0
core_plus_selected_aux_lags,bounce_rate_lag_7,100.0
core_plus_selected_aux_lags,refund_total_lag_7,99.5
core_plus_selected_aux_lags,days_to_next_promo_start,95.5
core_plus_selected_aux_lags,COGS_lag_180,94.0
core_plus_selected_aux_lags,ship_count_lag_7,93.5
core_plus_selected_aux_lags,COGS_lag_2,91.5
core_plus_selected_aux_lags,Revenue_lag_21,91.0
core_plus_selected_aux_lags,Revenue_rmin_14,88.5
core_plus_selected_aux_lags,fourier_sin_4,88.5
core_plus_selected_aux_lags,trend,87.5
core_plus_selected_aux_lags,Revenue_rmean_7,85.5
core_plus_selected_aux_lags,COGS_rmin_7,85.0
core_plus_selected_aux_lags,COGS_lag_21,82.5
core_plus_selected_aux_lags,Revenue_rstd_7,82.5
core_plus_selected_aux_lags,Revenue_lag_60,82.0
core_plus_selected_aux_lags,COGS_lag_3,81.0
core_plus_selected_aux_lags,Revenue_lag_3,76.5
core_plus_selected_aux_lags,fourier_cos_4,76.0
core_plus_selected_aux_lags,days_since_last_promo_end,75.5
core_plus_selected_aux_lags,Revenue_rmean_365,73.0
core_plus_selected_aux_lags,fourier_sin_2,71.0
core_plus_selected_aux_lags,Revenue_rmedian_365,69.0
core_plus_selected_aux_lags,COGS_rstd_28,68.5
core_plus_selected_aux_lags,COGS_rmedian_7,66.5
core_plus_selected_aux_lags,COGS_rmean_7,64.5
core_plus_selected_aux_lags,fourier_sin_1,62.5
core_plus_selected_aux_lags,fourier_cos_5,62.0
core_plus_selected_aux_lags,visitors_lag_7,61.5
core_plus_selected_aux_lags,Revenue_rmax_7,60.5
core_plus_selected_aux_lags,COGS_rstd_14,59.5
core_plus_selected_aux_lags,Revenue_rstd_28,55.0
core_plus_selected_aux_lags,Revenue_rstd_14,53.5
core_plus_selected_aux_lags,Revenue_rstd_365,53.5
core_plus_selected_aux_lags,COGS_rmean_28,52.5
core_plus_selected_aux_lags,return_count_lag_7,51.5
core_plus_selected_aux_lags,sessions_lag_14,50.5
core_plus_selected_aux_lags,Revenue_rstd_60,49.0
core_plus_selected_aux_lags,visitors_lag_14,47.0
core_plus_selected_aux_lags,sessions_lag_7,45.0
core_plus_selected_aux_lags,COGS_rmax_28,44.5
core_plus_selected_aux_lags,Revenue_rstd_90,44.5
core_plus_selected_aux_lags,COGS_rmin_14,42.5
core_plus_selected_aux_lags,Revenue_rmin_365,41.0
core_plus_selected_aux_lags,COGS_rstd_90,40.0
core_plus_selected_aux_lags,Revenue_rmin_28,40.0
core_plus_selected_aux_lags,Revenue_rmean_14,39.5
core_plus_selected_aux_lags,dayofyear,39.5
core_plus_selected_aux_lags,dayofyear_cos,39.5
core_plus_selected_aux_lags,COGS_rmean_14,39.0
core_plus_selected_aux_lags,COGS_rmin_28,39.0
core_plus_selected_aux_lags,COGS_rmedian_14,38.0
core_plus_selected_aux_lags,Revenue_rmax_14,37.0
core_plus_selected_aux_lags,Revenue_rmedian_14,36.5
core_plus_selected_aux_lags,Revenue_rmin_60,36.0
core_plus_selected_aux_lags,Revenue_rmin_90,34.5
core_plus_selected_aux_lags,fourier_cos_2,34.5
core_plus_selected_aux_lags,COGS_rmax_7,34.0
core_plus_selected_aux_lags,Revenue_rmean_28,32.5
core_plus_selected_aux_lags,COGS_rmax_14,32.0
core_plus_selected_aux_lags,Revenue_rmin_180,28.5
core_plus_selected_aux_lags,Revenue_rmedian_180,28.0
core_plus_selected_aux_lags,Revenue_rmax_28,26.0
core_plus_selected_aux_lags,Revenue_rstd_180,25.5
core_plus_selected_aux_lags,Revenue_rmean_180,24.0
core_plus_selected_aux_lags,Revenue_rmedian_28,23.0
core_plus_selected_aux_lags,COGS_rmedian_28,22.5
core_plus_selected_aux_lags,COGS_rmin_90,22.0
core_plus_selected_aux_lags,Revenue_rmean_60,21.0
core_plus_selected_aux_lags,active_discount_sum,20.5
core_plus_selected_aux_lags,Revenue_rmean_90,20.0
core_plus_selected_aux_lags,Revenue_rmedian_90,19.0
core_plus_selected_aux_lags,Revenue_rmax_180,18.5
core_plus_selected_aux_lags,COGS_rmax_90,16.5
core_plus_selected_aux_lags,fourier_cos_1,16.5
core_plus_selected_aux_lags,Revenue_rmedian_60,16.0
core_plus_selected_aux_lags,COGS_rmedian_90,15.5
core_plus_selected_aux_lags,COGS_rmean_90,14.0
core_plus_selected_aux_lags,Revenue_rmax_90,13.5
core_plus_selected_aux_lags,Revenue_rmax_60,12.5
core_plus_selected_aux_lags,year,11.5
core_plus_selected_aux_lags,Revenue_rmax_365,11.0
core_plus_selected_aux_lags,weekofyear,10.0
core_plus_selected_aux_lags,month_sin,8.5
core_plus_selected_aux_lags,is_month_start,5.0
core_plus_selected_aux_lags,active_promo_count,4.0
core_plus_selected_aux_lags,month_cos,4.0
core_plus_selected_aux_lags,active_pct_count,3.0
core_plus_selected_aux_lags,active_fixed_count,2.5
core_plus_selected_aux_lags,month,1.0
core_plus_selected_aux_lags,is_weekend,0.5
core_plus_selected_aux_lags,is_month_end,0.0
core_plus_selected_aux_lags,is_promo_active,0.0
core_plus_selected_aux_lags,quarter,0.0
